Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,0,15/02/2018 03:53:47,168430,5,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,29.6859229353,42107.5,78496.6774434859,159805,227,168430,42107.5,78496.6774434859,159805,227,0,0.0,0.0,0,0,0,0,0,0,0,0,29.6859229353,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,0,0,-1,-1,0,0,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,15/02/2018 12:25:09,38188,1,1,52,108,52,52,52.0,0.0,108,108,108.0,0.0,4189.7978422541,52.3724730282,38188.0,0.0,38188,38188,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,26.1862365141,26.1862365141,52,108,70.6666666667,32.3316150746,1045.3333333333,0,0,0,0,0,0,0,0,1,106.0,52.0,108.0,0,0,0,0,0,0,1,52,1,108,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
445,6,15/02/2018 10:08:18,1066865,7,5,364,582,103,0,52.0,49.2172056636,409,0,116.4,167.0353256051,886.7101273357,11.247908592,96987.7272727273,110408.961778554,221764,46,1066865,177810.833333333,85950.9116726906,221846,2900,850855,212713.75,10395.6433623257,221851,203511,0,0,0,0,152,112,6.561280012,4.68662858,0,409,72.7692307692,109.5332170669,11997.5256410256,0,0,0,1,0,0,0,0,0,78.8333333333,52.0,116.4,0,0,0,0,0,0,7,364,5,582,8192,255,4,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
50314,6,15/02/2018 11:11:36,1,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0,0,0,40,0,2000000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,5486,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,15/02/2018 11:24:36,651,1,1,34,93,34,34,34.0,0.0,93,93,93.0,0.0,195084.485407066,3072.1966205837,651.0,0.0,651,651,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,1536.0983102919,1536.0983102919,34,93,53.6666666667,34.0636658822,1160.3333333333,0,0,0,0,0,0,0,0,1,80.5,34.0,93.0,0,0,0,0,0,0,1,34,1,93,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,15/02/2018 02:53:04,84,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,23809.5238095238,84.0,0.0,84,84,84,84.0,0.0,84,84,0,0.0,0.0,0,0,0,0,0,0,40,0,23809.5238095238,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,279,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,15/02/2018 01:39:33,1551,1,1,38,66,38,38,38.0,0.0,66,66,66.0,0.0,67053.5138620245,1289.4906511928,1551.0,0.0,1551,1551,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,644.7453255964,644.7453255964,38,66,47.3333333333,16.1658075373,261.3333333333,0,0,0,0,0,0,0,0,1,71.0,38.0,66.0,0,0,0,0,0,0,1,38,1,66,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,15/02/2018 01:39:09,42435,1,1,28,79,28,28,28.0,0.0,79,79,79.0,0.0,2521.5034759043,47.1309060917,42435.0,0.0,42435,42435,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,23.5654530458,23.5654530458,28,79,45.0,29.4448637287,867.0,0,0,0,0,0,0,0,0,1,67.5,28.0,79.0,0,0,0,0,0,0,1,28,1,79,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
11681,6,15/02/2018 02:10:17,156,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,12820.5128205128,156.0,0.0,156,156,156,156.0,0.0,156,156,0,0.0,0.0,0,0,0,0,0,0,40,0,12820.5128205128,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,255,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,15/02/2018 09:45:09,236,1,1,33,161,33,33,33.0,0.0,161,161,161.0,0.0,822033.898305085,8474.5762711864,236.0,0.0,236,236,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,4237.2881355932,4237.2881355932,33,161,75.6666666667,73.9008344563,5461.3333333333,0,0,0,0,0,0,0,0,1,113.5,33.0,161.0,0,0,0,0,0,0,1,33,1,161,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,6,15/02/2018 02:18:12,53983737,5,1,123,46,46,0,24.6,23.2765976895,46,46,46.0,0.0,3.1305724537,0.1111445842,10796747.4,24098588.441307,53905590,23,53983737,13495934.25,26939795.4697184,53905590,23,0,0.0,0.0,0,0,1,0,0,0,100,20,0.0926204868,0.0185240974,0,46,30.7142857143,21.6849739506,470.2380952381,0,1,0,0,1,0,0,0,0,35.8333333333,24.6,46.0,0,0,0,0,0,0,5,123,1,46,251,53,2,20,77921.0,0.0,77921,77921,53905590.0,0.0,53905590,53905590,Benign
53,17,15/02/2018 05:00:10,18597,1,1,34,79,34,34,34.0,0.0,79,79,79.0,0.0,6076.2488573426,107.5442275636,18597.0,0.0,18597,18597,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,53.7721137818,53.7721137818,34,79,49.0,25.9807621135,675.0,0,0,0,0,0,0,0,0,1,73.5,34.0,79.0,0,0,0,0,0,0,1,34,1,79,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,15/02/2018 09:42:52,38981,1,1,38,70,38,38,38.0,0.0,70,70,70.0,0.0,2770.5805392371,51.3070470229,38981.0,0.0,38981,38981,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,25.6535235115,25.6535235115,38,70,48.6666666667,18.4752086141,341.3333333333,0,0,0,0,0,0,0,0,1,73.0,38.0,70.0,0,0,0,0,0,0,1,38,1,70,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,15/02/2018 02:18:54,847,1,1,47,128,47,47,47.0,0.0,128,128,128.0,0.0,206611.570247934,2361.2750885478,847.0,0.0,847,847,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,1180.6375442739,1180.6375442739,47,128,74.0,46.7653718044,2187.0,0,0,0,0,0,0,0,0,1,111.0,47.0,128.0,0,0,0,0,0,0,1,47,1,128,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,6,15/02/2018 05:13:39,116562196,14,17,620,5662,187,0,44.2857142857,68.1586707294,1460,0,333.0588235294,551.20827173,53.893974338,0.2659524362,3885406.53333333,14760367.2491699,58248672,0,116562196,8966322.76923077,21844043.4930571,58248672,212,116545164,7284072.75,19884652.4926891,58306672,0,0,0,0,0,292,352,0.1201075519,0.1458448844,0,1460,196.3125,425.0875763659,180699.447580645,0,0,0,1,0,0,0,0,1,202.6451612903,44.2857142857,333.0588235294,0,0,0,0,0,0,14,620,17,5662,8192,66,6,20,86842.5,98906.5610184683,156780,16905,58185317.0,89597.5002441474,58248672,58121962,Benign
443,6,15/02/2018 10:41:07,30395224,1,6,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.2302993391,5065870.66666667,6101296.31579168,16000187,94874,0,0.0,0.0,0,0,30300350,6060070.0,6254520.64976709,16000187,299947,0,0,0,0,32,192,0.0328999056,0.1973994335,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,6,0.0,0.0,0.0,0,0,0,0,0,0,1,0,6,0,8192,42780,0,32,6394944.0,0.0,6394944,6394944,12000140.0,5656920.71752981,16000187,8000093,Benign
53,17,15/02/2018 10:58:37,384,1,1,32,48,32,32,32.0,0.0,48,48,48.0,0.0,208333.333333333,5208.3333333333,384.0,0.0,384,384,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,2604.1666666667,2604.1666666667,32,48,37.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,0,1,56.0,32.0,48.0,0,0,0,0,0,0,1,32,1,48,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,15/02/2018 01:39:25,113957,2,2,68,492,34,34,34.0,0.0,246,246,246.0,0.0,4914.1342787192,35.1009591337,37985.6666666667,65230.9058448013,113307,19,113307,113307.0,0.0,113307,113307,19,19.0,0.0,19,19,0,0,0,0,16,16,17.5504795669,17.5504795669,34,246,118.8,116.1171821911,13483.2,0,0,0,0,0,0,0,0,1,148.5,34.0,246.0,0,0,0,0,0,0,2,68,2,492,-1,-1,1,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,15/02/2018 01:03:34,42775,2,2,88,200,44,44,44.0,0.0,100,100,100.0,0.0,6732.9047340736,93.512565751,14258.3333333333,14435.625872588,29194,381,42394,42394.0,0.0,42394,42394,13581,13581.0,0.0,13581,13581,0,0,0,0,16,16,46.7562828755,46.7562828755,44,100,66.4,30.6724632203,940.8,0,0,0,0,0,0,0,0,1,83.0,44.0,100.0,0,0,0,0,0,0,2,88,2,200,-1,-1,1,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
3389,6,15/02/2018 02:07:20,2470037,8,7,1144,1581,677,0,143.0,227.9699228282,1173,0,225.8571428571,430.0986044197,1103.2223403941,6.0727835251,176431.214285714,252614.916890444,953126,3,2470037,352862.428571429,405962.935502679,1250102,3,2226936,371156.0,285998.184297034,953126,241694,0,0,0,0,172,152,3.2388178801,2.833965645,0,1173,170.3125,319.402717323,102018.095833333,0,0,0,1,0,0,0,0,0,181.6666666667,143.0,225.8571428571,0,0,0,0,0,0,8,1144,7,1581,64240,62856,5,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
3389,6,15/02/2018 05:50:08,2781576,8,8,1128,1581,661,0,141.0,222.62332056,1173,0,197.625,406.1217050168,973.908316724,5.752134761,185438.4,234089.617684217,945012,3,2781576,397368.0,417166.164069347,1305894,3,2538495,362642.142857143,277277.33426026,945012,40782,0,0,0,0,172,172,2.8760673805,2.8760673805,0,1173,159.3529411765,310.3705328266,96329.8676470588,0,0,0,1,0,0,0,0,1,169.3125,141.0,197.625,0,0,0,0,0,0,8,1128,8,1581,64240,62872,5,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,15/02/2018 03:50:46,39270,1,1,30,132,30,30,30.0,0.0,132,132,132.0,0.0,4125.2864782277,50.9294626942,39270.0,0.0,39270,39270,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,25.4647313471,25.4647313471,30,132,64.0,58.8897274573,3468.0,0,0,0,0,0,0,0,0,1,96.0,30.0,132.0,0,0,0,0,0,0,1,30,1,132,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,15/02/2018 01:18:00,892,3,4,161,488,161,0,53.6666666667,92.9533933395,488,0,122.0,244.0,727578.475336323,7847.533632287,148.6666666667,100.0673106797,288,30,424,212.0,106.066017178,287,137,658,219.3333333333,166.0160634798,340,30,0,0,0,0,72,92,3363.2286995516,4484.3049327354,0,488,81.125,173.7875858627,30202.125,0,0,0,1,0,0,0,0,1,92.7142857143,53.6666666667,122.0,0,0,0,0,0,0,3,161,4,488,8192,149,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,15/02/2018 08:52:35,124490,2,2,72,104,36,36,36.0,0.0,52,52,52.0,0.0,1413.7681741505,32.1310948671,41496.6666666667,70382.8537382034,122767,552,123938,123938.0,0.0,123938,123938,123319,123319.0,0.0,123319,123319,0,0,0,0,16,16,16.0655474335,16.0655474335,36,52,42.4,8.7635609201,76.8,0,0,0,0,0,0,0,0,1,53.0,36.0,52.0,0,0,0,0,0,0,2,72,2,104,-1,-1,1,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
3389,6,15/02/2018 12:50:25,1756977,8,7,1132,1581,661,0,141.5,222.792023453,1173,0,225.8571428571,430.0986044197,1544.1294905966,8.5373912123,125498.357142857,245462.721891222,953141,80,1756977,250996.714285714,390152.709235206,1129418,307,1634414,272402.333333333,334096.67322538,953141,124752,0,0,0,0,172,152,4.5532753132,3.9841158991,0,1173,169.5625,317.7627980638,100973.195833333,0,0,1,1,0,0,0,1,0,180.8666666667,141.5,225.8571428571,0,0,0,0,0,0,8,1132,7,1581,8192,62868,5,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
445,6,15/02/2018 04:39:00,127047,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,31.4844112809,42349.0,72453.6804517203,126010,114,127047,63523.5,88530.4761113369,126124,923,0,0.0,0.0,0,0,0,0,0,0,72,32,23.6133084606,7.8711028202,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,6,15/02/2018 02:36:03,916,1,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3275.1091703057,458.0,647.7098115669,916,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,40,1091.7030567686,2183.4061135371,0,0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,2,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,0,0,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,15/02/2018 12:40:05,758,3,4,161,488,161,0,53.6666666667,92.9533933395,488,0,122.0,244.0,856200.527704485,9234.8284960422,126.3333333333,83.7583826651,218,1,403,201.5,99.7020561473,272,131,540,180.0,172.4267960614,345,1,0,0,0,0,72,92,3957.783641161,5277.0448548813,0,488,81.125,173.7875858627,30202.125,0,0,0,1,0,0,0,0,1,92.7142857143,53.6666666667,122.0,0,0,0,0,0,0,3,161,4,488,8192,149,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
49496,6,15/02/2018 08:40:22,64,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,31250.0,64.0,0.0,64,64,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,15625.0,15625.0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,946,256,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,6,15/02/2018 10:51:45,60323943,13,13,652,2066,374,0,50.1538461538,114.9723489611,945,0,158.9230769231,351.152972729,45.0567364272,0.4310063087,2412957.72,4341775.90740428,10057954,33,60323943,5026995.25,5193989.77637946,10098500,428,60274593,5022882.75,5205308.77559555,10098637,312,0,0,0,0,284,344,0.2155031544,0.2155031544,0,945,100.6666666667,257.6333112719,66374.9230769231,0,0,0,1,0,0,0,0,1,104.5384615385,50.1538461538,158.9230769231,0,0,0,0,0,0,13,652,13,2066,8192,123,9,20,57829.3333333333,93297.8859088815,246862,11661,9982439.33333333,88917.8046122746,10057954,9805926,Benign
54495,6,15/02/2018 05:45:40,46,2,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,65217.3913043478,23.0,32.5269119346,46,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,43478.2608695652,21739.1304347826,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,0,0,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,15/02/2018 04:05:28,99,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,20202.0202020202,99.0,0.0,99,99,99,99.0,0.0,99,99,0,0.0,0.0,0,0,0,0,0,0,40,0,20202.0202020202,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,278,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,15/02/2018 09:09:38,937,1,1,35,51,35,35,35.0,0.0,51,51,51.0,0.0,91782.2838847385,2134.4717182497,937.0,0.0,937,937,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,1067.2358591249,1067.2358591249,35,51,40.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,0,1,60.5,35.0,51.0,0,0,0,0,0,0,1,35,1,51,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,15/02/2018 09:53:22,305,1,1,43,59,43,43,43.0,0.0,59,59,59.0,0.0,334426.229508197,6557.3770491803,305.0,0.0,305,305,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,3278.6885245902,3278.6885245902,43,59,48.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,0,1,72.5,43.0,59.0,0,0,0,0,0,0,1,43,1,59,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,15/02/2018 12:06:58,297,1,1,42,58,42,42,42.0,0.0,58,58,58.0,0.0,336700.336700337,6734.0067340067,297.0,0.0,297,297,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,3367.0033670034,3367.0033670034,42,58,47.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,0,1,71.0,42.0,58.0,0,0,0,0,0,0,1,42,1,58,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,15/02/2018 12:29:10,341,1,1,33,65,33,33,33.0,0.0,65,65,65.0,0.0,287390.029325513,5865.1026392962,341.0,0.0,341,341,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,2932.5513196481,2932.5513196481,33,65,43.6666666667,18.4752086141,341.3333333333,0,0,0,0,0,0,0,0,1,65.5,33.0,65.0,0,0,0,0,0,0,1,33,1,65,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,15/02/2018 09:27:54,115649630,16,14,451,795,440,0,28.1875,109.8175570359,795,0,56.7857142857,212.4726873204,10.7739211963,0.2594042022,3987918.27586207,4881270.99792632,10008750,21,115649630,7709975.33333333,4152828.23340704,10031076,335,110369531,8489963.92307692,3762836.51085307,10033717,338,0,0,0,0,332,424,0.1383489078,0.1210552943,0,795,40.1935483871,160.7850364835,25851.8279569892,0,0,0,1,0,0,0,0,0,41.5333333333,28.1875,56.7857142857,0,0,0,0,0,0,16,451,14,795,8192,946,12,20,30244.8181818182,26012.8584235496,108676,22280,10003184.6363636,18032.7623412098,10008750,9948815,Benign
80,6,15/02/2018 02:02:29,756,3,4,161,488,161,0,53.6666666667,92.9533933395,488,0,122.0,244.0,858465.608465608,9259.2592592593,126.0,86.4939304229,239,0,425,212.5,113.844191771,293,132,517,172.3333333333,183.9302403993,366,0,0,0,0,0,72,92,3968.253968254,5291.0052910053,0,488,81.125,173.7875858627,30202.125,0,0,0,1,0,0,0,0,1,92.7142857143,53.6666666667,122.0,0,0,0,0,0,0,3,161,4,488,8192,149,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
